crp_cd,crp_nm
036460,한국가스공사
033780,(주)케이티앤지
027410,(주)비지에프
035720,(주)카카오
032640,(주)LG유플러스
069960,(주)현대백화점
020000,(주)한섬
079160,씨제이씨지브이(주)
035250,(주)강원랜드
035420,네이버(주)
079430,(주)현대리바트
064350,현대로템(주)
036580,(주)팜스코
047810,한국항공우주산업(주)
042670,두산인프라코어(주)
042660,대우조선해양(주)
049770,(주)동원F&B
047040,(주)대우건설
047050,(주)포스코대우
051910,(주)LG화학
051900,(주)LG생활건강
086280,현대글로비스(주)
057050,(주)현대홈쇼핑
064960,S&T모티브(주)
066570,LG전자(주)
069260,휴켐스(주)
069620,(주)대웅제약
073240,금호타이어(주)
079550,엘아이지넥스원(주)
068270,(주)셀트리온
003920,남양유업(주)
002270,롯데푸드(주)
005180,(주)빙그레
004370,(주)농심
005610,(주)SPC삼립
001680,대상(주)
007310,(주)오뚜기
000150,(주)두산
005300,롯데칠성음료(주)
000080,하이트진로(주)
033920,(주)무학
004800,(주)효성
003240,태광산업(주)
006650,대한유화(주)
019680,(주)대교
025860,남해화학(주)
010060,OCI(주)
014830,(주)유니드
009830,한화케미칼(주)
011170,롯데케미칼(주)
004000,롯데정밀화학(주)
000990,(주)DB하이텍
009420,한올바이오파마(주)
005250,(주)녹십자홀딩스
003850,보령제약(주)
003000,부광약품(주)
003520,영진약품(주)
000100,(주)유한양행
001060,JW중외제약(주)
011790,SKC(주)
000880,(주)한화
002960,한국쉘석유(주)
010950,S-OIL(주)
007570,일양약품(주)
014680,(주)한솔케미칼
002350,넥센타이어(주)
011780,금호석유화학(주)
006280,(주)녹십자
010780,아이에스동서(주)
001520,(주)동양
003410,쌍용양회공업(주)
003300,한일홀딩스(주)
026960,(주)동서
002240,고려제강(주)
001230,동국제강(주)
004020,현대제철(주)
000670,(주)영풍
010130,고려아연(주)
005490,(주)포스코
020150,일진머티리얼즈(주)
009240,(주)한샘
012330,현대모비스(주)
010140,삼성중공업(주)
017800,현대엘리베이터(주)
006400,삼성SDI(주)
011070,엘지이노텍(주)
005930,삼성전자(주)
009150,삼성전기(주)
012450,한화에어로스페이스(주)
010620,(주)현대미포조선
000270,기아자동차(주)
003620,쌍용자동차(주)
005380,현대자동차(주)
011210,현대위아(주)
001430,(주)세아베스틸
115390,(주)락앤락
214320,(주)이노션
004490,세방전지(주)
005850,에스엘(주)
034020,두산중공업(주)
009540,현대중공업(주)
008060,대덕전자(주)
000660,에스케이하이닉스(주)
034220,엘지디스플레이(주)
025540,한국단자공업(주)
018880,한온시스템(주)
090430,(주)아모레퍼시픽
010120,LS산전(주)
014820,동원시스템즈(주)
015760,한국전력공사
093050,(주)LF
093370,(주)후성
114090,그랜드코리아레저(주)
097230,(주)한진중공업
097950,CJ제일제당(주)
002380,(주)케이씨씨
000210,대림산업(주)
006360,지에스건설(주)
000720,현대건설(주)
051600,한전KPS(주)
001120,(주)LG상사
001740,SK네트웍스(주)
071840,롯데하이마트(주)
021240,코웨이(주)
023530,롯데쇼핑(주)
004170,(주)신세계
005440,(주)현대그린푸드
036570,(주)엔씨소프트
008770,(주)호텔신라
000120,씨제이대한통운(주)
028670,팬오션(주)
007070,(주)지에스리테일
028260,삼성물산(주)
017670,SK텔레콤(주)
030200,(주)케이티
030000,(주)제일기획
028050,삼성엔지니어링(주)
052690,한국전력기술(주)
012750,(주)에스원
018260,삼성에스디에스(주)
034120,(주)SBS
003490,(주)대한항공
103140,(주)풍산
105630,한세실업(주)
108670,(주)엘지하우시스
111770,(주)영원무역
120110,코오롱인더스트리(주)
128940,한미약품(주)
139480,(주)이마트
207940,삼성바이오로직스(주)
145990,(주)삼양사
251270,넷마블(주)
161390,한국타이어(주)
161890,한국콜마(주)
271560,(주)오리온
282330,(주)비지에프리테일
285130,에스케이케미칼(주)
170900,동아에스티(주)
294870,에이치디씨현대산업개발(주)
298040,효성중공업(주)
185750,(주)종근당
192820,코스맥스(주)
204320,(주)만도
084110,(주)휴온스글로벌
067080,대화제약(주)
049950,(주)미래컴퍼니
031390,(주)녹십자셀
041960,(주)코미팜
039030,(주)이오테크닉스
214450,(주)파마리서치프로덕트
028150,(주)지에스홈쇼핑
237880,(주)클리오
035760,(주)씨제이이엔엠
036420,(주)제이콘텐트리
036830,솔브레인(주)
041510,(주)에스엠엔터테인먼트
053800,(주)안랩
080160,(주)모두투어네트워크
108230,(주)톱텍
064760,(주)티씨케이
200230,(주)텔콘알에프제약
046890,서울반도체(주)
036490,에스케이머티리얼즈(주)
085660,(주)차바이오텍
098460,(주)고영테크놀러지
091700,(주)파트론
084990,(주)바이로메드
086520,(주)에코프로
043150,(주)바텍
065620,(주)제낙스
048530,(주)인트론바이오테크놀로지
095700,(주)제넥신
078340,(주)컴투스
087010,(주)펩트론
056190,(주)에스에프에이
122870,(주)와이지엔터테인먼트
019210,(주)와이지-원
115450,(주)지트리비앤티
102940,코오롱생명과학(주)
063080,(주)게임빌
069080,(주)웹젠
092040,아미코젠(주)
078160,메디포스트(주)
